date,uboat,commander,ship_name,tonnage,nationality,convoy,coordinates
9 Jan 1941,U-105,Georg Schewe,Bassano,"4,843",br,-,"[('57.95', '-17.70')]"
16 Jan 1941,U-96,Heinrich Lehmann-Willenbrock,Oropesa,"14,118",br,-,"[('56.47', '-12.00')]"
17 Jan 1941,U-106,Jürgen Oesten,Zealandic,"10,578",br,-,"[('58.47', '-20.72')]"
17 Jan 1941,U-96,Heinrich Lehmann-Willenbrock,Almeda Star,"14,936",br,-,"[('58.27', '-13.67')]"
20 Jan 1941,U-94,Herbert Kuppisch,Florian,"3,174",br,-,"[('61.23', '-12.08')]"
24 Jan 1941,U-123,Karl-Heinz Moehle,Vespasian,"1,570",nw,OB-276,"[('55.95', '-21.92')]"
26 Jan 1941,U-105,Georg Schewe,Lurigethan,"3,564",br,SLS-61,"[('53.83', '-15.67')]"
29 Jan 1941,U-106,Jürgen Oesten,Sesostris,"2,962",ag,SC-19,"[('56.00', '-15.38')]"
29 Jan 1941,U-93,Claus Korth,Aikaterini,"4,929",gr,SC-19,"[('56.00', '-15.38')]"
29 Jan 1941,U-93,Claus Korth,King Robert,"5,886",br,SC-19,"[('56.00', '-15.38')]"
29 Jan 1941,U-93,Claus Korth,W.B. Walker,"10,468",br,SC-19,"[('56.00', '-15.38')]"
29 Jan 1941,U-94,Herbert Kuppisch,West Wales,"4,353",br,SC-19,"[('56.00', '-15.38')]"
30 Jan 1941,U-94,Herbert Kuppisch,Rushpool,"5,125",br,SC-19,"[('56.00', '-15.70')]"
3 Feb 1941,U-107,Günter Hessler,Empire Citizen,"4,683",br,OB-279,"[('58.20', '-23.37')]"
3 Feb 1941,U-107,Günter Hessler,HMS Crispin,"5,051",br,OB-280,"[('56.63', '-20.08')]"
4 Feb 1941,U-123,Karl-Heinz Moehle,Empire Engineer,"5,358",br,SC-20,"[('54.35', '-23.25')]"
4 Feb 1941,U-52,Otto Salman,Ringhorn,"1,298",nw,OB-280,"[('55.77', '-22.60')]"
4 Feb 1941,U-93,Claus Korth,Dione II,"2,660",br,SC-20,"[('55.83', '-10.50')]"
6 Feb 1941,U-107,Günter Hessler,Maplecourt,"3,388",ca,SC-20,"[('57.55', '-17.40')]"
9 Feb 1941,U-37,Asmus Nicolai Clausen,Courland,"1,325",br,HG-53,"[('35.88', '-13.22')]"
9 Feb 1941,U-37,Asmus Nicolai Clausen,Estrellano,"1,983",br,HG-53,"[('35.88', '-13.22')]"
10 Feb 1941,U-37,Asmus Nicolai Clausen,Brandenburg,"1,473",br,HG-53,"[('36.17', '-16.63')]"
10 Feb 1941,U-52,Otto Salman,Canford Chine,"3,364",br,OG-52,"[('55.85', '-17.58')]"
13 Feb 1941,U-103,Viktor Schütze,Arthur F. Corwin (d.),"10,516",br,HX-106,
13 Feb 1941,U-96,Heinrich Lehmann-Willenbrock,Arthur F. Corwin,"10,516",br,HX-106,"[('60.42', '-17.18')]"
13 Feb 1941,U-96,Heinrich Lehmann-Willenbrock,Clea,"7,987",br,HX-106,"[('60.42', '-17.17')]"
14 Feb 1941,U-101,Ernst Mengersen,Belcrest,"4,517",br,SC-21,"[('54.25', '-18.75')]"
15 Feb 1941,U-123,Karl-Heinz Moehle,Holystone,"5,462",br,OB-284,"[('55.65', '-25.25')]"
17 Feb 1941,U-101,Ernst Mengersen,Gairsoppa,"5,237",br,SL-64,"[('50.00', '-14.00')]"
17 Feb 1941,U-103,Viktor Schütze,Edwy R. Brown,"10,455",br,HX-107,"[('61.00', '-18.00')]"
17 Feb 1941,U-69,Jost Metzler,Siamese Prince,"8,456",br,-,"[('59.88', '-12.20')]"
18 Feb 1941,U-103,Viktor Schütze,Seaforth,"5,459",br,-,"[('58.80', '-18.28')]"
18 Feb 1941,U-96,Heinrich Lehmann-Willenbrock,Black Osprey,"5,589",br,HX-107,"[('61.22', '-18.17')]"
19 Feb 1941,U-103,Viktor Schütze,Benjamin Franklin,"7,034",nw,HX-107,"[('58.83', '-16.50')]"
19 Feb 1941,U-69,Jost Metzler,Empire Blanda,"5,693",br,HX-107,"[('60.75', '-18.60')]"
22 Feb 1941,U-108,Klaus Scholtz,Texelstroom,"1,617",nl,-,"[('63.25', '-20.50')]"
22 Feb 1941,U-96,Heinrich Lehmann-Willenbrock,Scottish Standard,"6,999",br,OB-287,"[('59.33', '-16.20')]"
23 Feb 1941,U-107,Günter Hessler,HMS Manistee (F 104),"5,360",br,OB-288,"[('58.22', '-21.55')]"
23 Feb 1941,U-69,Jost Metzler,Marslew,"4,542",br,OB-288,"[('59.30', '-21.50')]"
23 Feb 1941,U-96,Heinrich Lehmann-Willenbrock,Anglo-Peruvian,"5,457",br,OB-288,"[('59.50', '-21.00')]"
24 Feb 1941,U-123,Karl-Heinz Moehle,Grootekerk,"8,685",nl,-,"[('56.95', '-23.80')]"
24 Feb 1941,U-48,Herbert Schultze,Nailsea Lass,"4,289",br,SLS-64,"[('50.25', '-10.75')]"
24 Feb 1941,U-73,Helmut Rosenbaum,Waynegate,"4,260",br,OB-288,"[('58.83', '-21.78')]"
24 Feb 1941,U-95,Gerd Schreiber,Cape Nelson,"3,807",br,OB-288,"[('59.50', '-21.00')]"
24 Feb 1941,U-95,Gerd Schreiber,Svein Jarl,"1,908",nw,OB-288,"[('59.50', '-21.00')]"
24 Feb 1941,U-95,Gerd Schreiber,Temple Moat,"4,427",br,OB-288,"[('59.45', '-20.33')]"
24 Feb 1941,U-96,Heinrich Lehmann-Willenbrock,Linaria,"3,385",br,OB-288,"[('59.75', '-20.80')]"
24 Feb 1941,U-96,Heinrich Lehmann-Willenbrock,Sirikishna,"5,458",br,OB-288,"[('58.00', '-21.00')]"
24 Feb 1941,U-97,Udo Heilmann,British Gunner,"6,894",br,OB-289,"[('61.15', '-12.07')]"
24 Feb 1941,U-97,Udo Heilmann,G.C. Brøvig (d.),"9,718",nw,OB-289,
24 Feb 1941,U-97,Udo Heilmann,Jonathan Holt,"4,973",br,OB-289,"[('61.17', '-11.92')]"
24 Feb 1941,U-97,Udo Heilmann,Mansepool,"4,894",br,OB-289,"[('61.02', '-12.00')]"
26 Feb 1941,U-47,Günther Prien,Borgland,"3,636",nw,OB-290,"[('55.75', '-14.48')]"
26 Feb 1941,U-47,Günther Prien,Diala (d.),"8,106",br,OB-290,
26 Feb 1941,U-47,Günther Prien,Kasongo,"5,254",be,OB-290,"[('55.83', '-14.33')]"
26 Feb 1941,U-47,Günther Prien,Rydboholm,"3,197",sw,OB-290,"[('55.53', '-14.40')]"
26 Feb 1941,U-70,Joachim Matz,Göteborg,820,sw,-,"[('63.00', '-14.00')]"
28 Feb 1941,U-108,Klaus Scholtz,Effna,"6,461",br,-,"[('61.50', '-15.75')]"
28 Feb 1941,U-47,Günther Prien,Holmelea,"4,223",br,HX-109,"[('54.40', '-17.42')]"
2 Mar 1941,U-147,Reinhard Hardegen,Augvald,"4,811",nw,HX-109,"[('59.50', '-7.50')]"
2 Mar 1941,U-95,Gerd Schreiber,Pacific,"6,034",br,HX-109,"[('49.90', '-5.28')]"
5 Mar 1941,U-95,Gerd Schreiber,Murjek,"5,070",sw,-,"[('59.00', '-18.00')]"
7 Mar 1941,U-37,Asmus Nicolai Clausen,Mentor,"3,050",gr,OB-292,"[('24.18', '-87.03')]"
7 Mar 1941,U-47,Günther Prien,Terje Viken (d.),"20,638",br,OB-293,
7 Mar 1941,U-70,Joachim Matz,Athelbeach (d.),"6,568",br,OB-293,
7 Mar 1941,U-70,Joachim Matz,Delilian (d.),"6,423",br,OB-293,
7 Mar 1941,U-70,Joachim Matz,Mijdrecht (d.),"7,493",nl,OB-293,
7 Mar 1941,U-99,Otto Kretschmer,Athelbeach,"6,568",br,OB-293,"[('60.50', '-13.50')]"
7 Mar 1941,U-99,Otto Kretschmer,Terje Viken,"20,638",br,OB-293,"[('60.00', '-12.83')]"
8 Mar 1941,U-105,Georg Schewe,Harmodius,"5,229",br,SL-67,"[('20.58', '-20.67')]"
8 Mar 1941,U-124,Georg-Wilhelm Schulz,Hindpool,"4,897",br,SL-67,"[('20.85', '-20.53')]"
8 Mar 1941,U-124,Georg-Wilhelm Schulz,Lahore,"5,304",br,SL-67,"[('20.85', '-20.53')]"
8 Mar 1941,U-124,Georg-Wilhelm Schulz,Nardana,"7,974",br,SL-67,"[('20.85', '-20.53')]"
8 Mar 1941,U-124,Georg-Wilhelm Schulz,Tielbank,"5,984",br,SL-67,"[('20.85', '-20.53')]"
8 Mar 1941,UA,Hans Eckermann,Dunaff Head,"5,258",br,OB-293,"[('60.55', '-18.83')]"
10 Mar 1941,U-552,Erich Topp,Reykjaborg,687,is,-,"[('58.85', '-11.00')]"
11 Mar 1941,U-106,Jürgen Oesten,Memnon,"7,506",br,-,"[('20.68', '-21.00')]"
11 Mar 1941,U-74,Eitel-Friedrich Kentrat,Frodi (d.),123,is,-,
12 Mar 1941,U-37,Asmus Nicolai Clausen,Pétursey,91,is,-,"[('59.65', '-12.60')]"
16 Mar 1941,U-106,Jürgen Oesten,Almkerk,"6,810",nl,-,"[('13.35', '-20.42')]"
16 Mar 1941,U-110,Fritz-Julius Lemp,Erodona (d.),"6,207",br,HX-112,
16 Mar 1941,U-99,Otto Kretschmer,Beduin,"8,136",nw,HX-112,"[('60.70', '-13.17')]"
16 Mar 1941,U-99,Otto Kretschmer,Ferm,"6,593",nw,HX-112,"[('60.70', '-13.17')]"
16 Mar 1941,U-99,Otto Kretschmer,Franche Comte (d.),"9,314",br,HX-112,
16 Mar 1941,U-99,Otto Kretschmer,J.B. White,"7,375",ca,HX-112,"[('60.95', '-12.45')]"
16 Mar 1941,U-99,Otto Kretschmer,Korshamn,"6,673",sw,HX-112,"[('61.15', '-12.33')]"
16 Mar 1941,U-99,Otto Kretschmer,Venetia,"5,728",br,HX-112,"[('61.00', '-12.60')]"
17 Mar 1941,U-106,Jürgen Oesten,Andalusian,"3,082",br,SL-68,"[('15.83', '-20.70')]"
17 Mar 1941,U-106,Jürgen Oesten,Tapanoeli,"7,034",nl,SL-68,"[('15.93', '-20.82')]"
18 Mar 1941,U-105,Georg Schewe,Medjerda,"4,380",br,SL-68,"[('16.45', '-21.25')]"
19 Mar 1941,U-105,Georg Schewe,Mandalika,"7,750",nl,SL-68,"[('18.27', '-21.43')]"
20 Mar 1941,U-106,Jürgen Oesten,HMS Malaya (01) (d.),"31,100",br,SL-68,
20 Mar 1941,U-106,Jürgen Oesten,Meerkerk (d.),"7,995",nl,SL-68,
21 Mar 1941,U-105,Georg Schewe,Benwyvis,"5,920",br,SL-68,"[('20.00', '-26.00')]"
21 Mar 1941,U-105,Georg Schewe,Clan Ogilvy,"5,802",br,SL-68,"[('20.07', '-25.75')]"
21 Mar 1941,U-105,Georg Schewe,Jhelum,"4,038",br,SL-68,"[('21.00', '-25.00')]"
23 Mar 1941,U-110,Fritz-Julius Lemp,Siremalm (d.),"2,468",nw,-,
23 Mar 1941,U-97,Udo Heilmann,Chama,"8,077",br,OG-56,"[('49.58', '-19.22')]"
24 Mar 1941,U-106,Jürgen Oesten,Eastlea,"4,267",br,-,"[('16.30', '-22.08')]"
24 Mar 1941,U-97,Udo Heilmann,Hørda,"4,301",nw,OG-56,"[('49.00', '-23.00')]"
27 Mar 1941,U-98,Robert Gysae,Koranton,"6,695",br,SC-25,"[('58.85', '-22.60')]"
29 Mar 1941,U-46,Engelbert Endrass,Liguria,"1,751",sw,OB-302,"[('59.45', '-24.60')]"
29 Mar 1941,U-48,Herbert Schultze,Germanic,"5,352",br,HX-115,"[('61.30', '-22.08')]"
29 Mar 1941,U-48,Herbert Schultze,Hylton,"5,197",br,HX-115,"[('61.37', '-22.00')]"
29 Mar 1941,U-48,Herbert Schultze,Limbourg,"2,483",be,HX-115,"[('61.30', '-22.08')]"
30 Mar 1941,U-124,Georg-Wilhelm Schulz,Umona,"3,767",br,-,"[('7.35', '-14.85')]"
30 Mar 1941,U-69,Jost Metzler,Coultarn,"3,759",br,OB-302,"[('60.30', '-29.47')]"
31 Mar 1941,U-46,Engelbert Endrass,Castor,"8,714",sw,-,"[('57.97', '-30.52')]"
2 Apr 1941,U-48,Herbert Schultze,Beaverdale,"9,957",br,-,"[('60.83', '-29.32')]"
3 Apr 1941,U-46,Engelbert Endrass,Alderpool (d.),"4,313",br,SC-26,
3 Apr 1941,U-69,Jost Metzler,Thirlby (d.),"4,887",br,SC-26,
3 Apr 1941,U-73,Helmut Rosenbaum,Alderpool,"4,313",br,SC-26,"[('58.35', '-27.98')]"
3 Apr 1941,U-73,Helmut Rosenbaum,British Viscount,"6,895",br,SC-26,"[('58.25', '-27.50')]"
3 Apr 1941,U-73,Helmut Rosenbaum,Indier,"5,409",be,SC-26,"[('58.22', '-27.60')]"
3 Apr 1941,U-73,Helmut Rosenbaum,Westpool,"5,724",br,SC-26,"[('58.20', '-27.67')]"
3 Apr 1941,U-74,Eitel-Friedrich Kentrat,HMS Worcestershire (F 29) (d.),"11,402",br,SC-26,
3 Apr 1941,U-74,Eitel-Friedrich Kentrat,Leonidas Z. Cambanis,"4,274",gr,SC-26,"[('58.20', '-27.67')]"
3 Apr 1941,U-76,Friedrich von Hippel,Daphne,"1,939",fi,-,
4 Apr 1941,U-124,Georg-Wilhelm Schulz,Marlene,"6,507",br,-,"[('8.25', '-14.32')]"
4 Apr 1941,U-76,Friedrich von Hippel,Athenic,"5,351",br,SC-26,"[('58.53', '-20.22')]"
4 Apr 1941,U-94,Herbert Kuppisch,Harbledown,"5,414",br,SC-26,"[('58.40', '-23.33')]"
4 Apr 1941,U-97,Udo Heilmann,Conus,"8,132",br,OB-304,"[('56.23', '-31.32')]"
4 Apr 1941,U-98,Robert Gysae,Helle,"2,467",nw,SC-26,"[('59.10', '-24.20')]"
4 Apr 1941,U-98,Robert Gysae,Welcombe,"5,122",br,SC-26,"[('59.15', '-23.67')]"
5 Apr 1941,U-105,Georg Schewe,Ena de Larrinaga,"5,200",br,-,"[('1.17', '-26.00')]"
6 Apr 1941,U-94,Herbert Kuppisch,Lincoln Ellsworth,"5,580",nw,-,"[('62.62', '-27.10')]"
7 Apr 1941,U-124,Georg-Wilhelm Schulz,Portadoc,"1,746",ca,-,"[('7.28', '-16.88')]"
8 Apr 1941,U-107,Günter Hessler,Eskdene,"3,829",br,OG-57,"[('34.72', '-24.35')]"
8 Apr 1941,U-107,Günter Hessler,Helena Margareta,"3,316",br,OG-57,"[('33.00', '-23.87')]"
8 Apr 1941,U-124,Georg-Wilhelm Schulz,Tweed,"2,697",br,OB-296,"[('7.72', '-15.18')]"
9 Apr 1941,U-107,Günter Hessler,Duffield,"8,516",br,-,"[('31.22', '-23.40')]"
9 Apr 1941,U-107,Günter Hessler,Harpathian,"4,671",br,OG-57,"[('32.37', '-22.88')]"
9 Apr 1941,U-98,Robert Gysae,Prins Willem II,"1,304",nl,HX-117,"[('59.83', '-24.42')]"
10 Apr 1941,U-52,Otto Salman,Saleier,"6,563",nl,OB-306,"[('58.07', '-30.80')]"
11 Apr 1941,U-124,Georg-Wilhelm Schulz,Aegeon,"5,285",gr,-,"[('6.92', '-15.63')]"
12 Apr 1941,U-124,Georg-Wilhelm Schulz,St. Helena,"4,313",br,-,"[('7.83', '-14.00')]"
13 Apr 1941,U-108,Klaus Scholtz,HMS Rajputana (F 35),"16,644",br,HX-117,"[('64.83', '-27.42')]"
13 Apr 1941,U-124,Georg-Wilhelm Schulz,Corinthic,"4,823",br,-,"[('8.17', '-14.67')]"
14 Apr 1941,U-52,Otto Salman,Ville de Liège,"7,430",be,-,"[('59.83', '-29.50')]"
17 Apr 1941,U-123,Karl-Heinz Moehle,Venezuela,"6,991",sw,-,"[('52.00', '-31.00')]"
20 Apr 1941,U-73,Helmut Rosenbaum,Empire Endurance,"8,570",br,-,"[('53.08', '-23.23')]"
20 Apr 1941,U-73,Helmut Rosenbaum,HMS ML-1003 [Trans.],46,br,-,
20 Apr 1941,U-73,Helmut Rosenbaum,HMS ML-1037 [Trans.],46,br,-,
21 Apr 1941,U-107,Günter Hessler,Calchas,"10,305",br,-,"[('23.83', '-27.00')]"
25 Apr 1941,U-103,Viktor Schütze,Polyana,"2,267",nw,OG-58,"[('12.75', '-28.35')]"
27 Apr 1941,U-110,Fritz-Julius Lemp,Henri Mory,"2,564",br,-,"[('54.00', '-19.00')]"
27 Apr 1941,U-147,Eberhard Wetjen,Rimfakse,"1,334",nw,-,"[('60.17', '-8.90')]"
27 Apr 1941,U-552,Erich Topp,Beacon Grange,"10,119",br,-,"[('62.08', '-16.33')]"
27 Apr 1941,U-552,Erich Topp,Commander Horton,227,br,-,"[('62.00', '-16.00')]"
28 Apr 1941,U-552,Erich Topp,Capulet (d.),"8,190",br,HX-121,
28 Apr 1941,U-96,Heinrich Lehmann-Willenbrock,Caledonia,"9,892",nw,HX-121,"[('60.05', '-16.17')]"
28 Apr 1941,U-96,Heinrich Lehmann-Willenbrock,Oilfield,"8,516",br,HX-121,"[('60.08', '-17.00')]"
28 Apr 1941,U-96,Heinrich Lehmann-Willenbrock,Port Hardy,"8,897",br,HX-121,"[('60.23', '-15.33')]"
29 Apr 1941,U-75,Helmuth Ringelmann,City of Nagpur,"10,146",br,-,"[('52.50', '-26.00')]"
30 Apr 1941,U-107,Günter Hessler,Lassell,"7,417",br,OB-309,"[('12.92', '-28.93')]"
1 May 1941,U-552,Erich Topp,Nerissa,"5,583",br,HX-121,"[('55.95', '-10.13')]"
2 May 1941,U-201,Adalbert Schnee,Capulet,"8,190",br,HX-121,"[('60.00', '-16.00')]"
3 May 1941,U-103,Viktor Schütze,Wray Castle,"4,253",br,-,"[('6.80', '-13.92')]"
3 May 1941,U-95,Gerd Schreiber,Taranger,"4,873",nw,-,"[('61.12', '-25.33')]"
4 May 1941,U-38,Heinrich Liebe,Japan,"5,230",sw,OB-310,"[('10.25', '-16.55')]"
5 May 1941,U-38,Heinrich Liebe,Queen Maud,"4,976",br,OB-309,"[('7.90', '-16.68')]"
6 May 1941,U-103,Viktor Schütze,Dunkwa,"4,752",br,OB-310,"[('8.72', '-17.22')]"
6 May 1941,U-103,Viktor Schütze,Surat,"5,529",br,-,"[('8.38', '-15.22')]"
6 May 1941,U-105,Georg Schewe,Oakdene,"4,255",br,OG-59,"[('6.32', '-27.92')]"
6 May 1941,U-556,Herbert Wohlfarth,Emanuel,166,fa,-,"[('62.10', '-8.17')]"
6 May 1941,U-97,Udo Heilmann,HMS Camito (F 77),"6,833",br,-,"[('50.67', '-21.50')]"
6 May 1941,U-97,Udo Heilmann,Sangro,"6,466",it,-,"[('50.70', '-21.37')]"
7 May 1941,U-94,Herbert Kuppisch,Eastern Star,"5,658",nw,OB-318,"[('61.48', '-22.67')]"
7 May 1941,U-94,Herbert Kuppisch,Ixion,"10,263",br,OB-318,"[('61.48', '-22.67')]"
8 May 1941,U-97,Udo Heilmann,Ramillies,"4,553",br,OB-317,"[('48.08', '-32.43')]"
9 May 1941,U-103,Viktor Schütze,City of Winchester,"7,120",br,OB-313,"[('8.33', '-26.23')]"
9 May 1941,U-110,Fritz-Julius Lemp,Bengore Head,"2,609",br,OB-318,"[('60.75', '-33.03')]"
9 May 1941,U-110,Fritz-Julius Lemp,Esmond,"4,976",br,OB-318,"[('60.75', '-33.03')]"
9 May 1941,U-201,Adalbert Schnee,Empire Cloud (d.),"5,969",br,OB-318,
9 May 1941,U-201,Adalbert Schnee,Gregalia,"5,802",br,OB-318,"[('60.40', '-32.62')]"
10 May 1941,U-556,Herbert Wohlfarth,Aelybryn (d.),"4,986",br,OB-318,
10 May 1941,U-556,Herbert Wohlfarth,Empire Caribou,"4,861",br,OB-318,"[('59.47', '-35.73')]"
10 May 1941,U-556,Herbert Wohlfarth,Gand,"5,086",be,OB-318,"[('57.90', '-37.57')]"
11 May 1941,U-103,Viktor Schütze,City of Shanghai,"5,828",br,OB-313,"[('6.67', '-27.83')]"
13 May 1941,U-105,Georg Schewe,Benvrackie,"6,434",br,OB-312,"[('0.82', '-20.25')]"
13 May 1941,U-111,Wilhelm Kleinschmidt,Somersby,"5,170",br,SC-30,"[('60.65', '-26.22')]"
13 May 1941,U-98,Robert Gysae,HMS Salopian (F 94),"10,549",br,SC-30,"[('59.07', '-38.25')]"
15 May 1941,U-105,Georg Schewe,Benvenue,"5,920",br,OB-314,"[('4.45', '-18.42')]"
15 May 1941,U-43,Wolfgang Lüth,Notre Dame du Châtelet,488,fr,-,"[('48.00', '-15.00')]"
16 May 1941,U-105,Georg Schewe,Rodney Star,"11,803",br,-,"[('5.05', '-19.03')]"
17 May 1941,U-107,Günter Hessler,Marisa,"8,029",nl,-,"[('6.17', '-18.15')]"
18 May 1941,U-107,Günter Hessler,Piako,"8,286",br,-,"[('7.87', '-14.95')]"
19 May 1941,U-96,Heinrich Lehmann-Willenbrock,Empire Ridge,"2,922",br,HG-61,"[('54.78', '-11.17')]"
20 May 1941,U-109,Hans-Georg Fischer,Harpagus,"5,173",br,HX-126,"[('56.78', '-40.92')]"
20 May 1941,U-111,Wilhelm Kleinschmidt,San Felix (d.),"13,037",br,OB-322,
20 May 1941,U-138,Franz Gramitzky,Javanese Prince,"8,593",br,-,"[('59.77', '-10.75')]"
20 May 1941,U-556,Herbert Wohlfarth,British Security,"8,470",br,HX-126,"[('57.47', '-41.12')]"
20 May 1941,U-556,Herbert Wohlfarth,Cockaponset,"5,995",br,HX-126,"[('57.47', '-41.12')]"
20 May 1941,U-556,Herbert Wohlfarth,Darlington Court,"4,974",br,HX-126,"[('57.47', '-41.12')]"
20 May 1941,U-94,Herbert Kuppisch,John P. Pedersen,"6,128",nw,HX-126,"[('57.00', '-41.00')]"
20 May 1941,U-94,Herbert Kuppisch,Norman Monarch,"4,718",br,HX-126,"[('56.68', '-40.87')]"
20 May 1941,U-98,Robert Gysae,Rothermere,"5,356",br,HX-126,"[('57.80', '-41.60')]"
21 May 1941,U-69,Jost Metzler,Robin Moor,"4,999",am,-,"[('6.17', '-25.67')]"
21 May 1941,U-69,Jost Metzler,Tewkesbury,"4,601",br,-,"[('5.82', '-24.15')]"
21 May 1941,U-93,Claus Korth,Elusa,"6,235",nl,HX-126,"[('59.00', '-38.08')]"
21 May 1941,U-98,Robert Gysae,Marconi,"7,402",br,OB-322,"[('58.00', '-41.00')]"
22 May 1941,U-103,Viktor Schütze,British Grenadier,"6,857",br,-,"[('6.25', '-12.98')]"
22 May 1941,U-111,Wilhelm Kleinschmidt,Barnby,"4,813",br,HX-126,"[('60.50', '-34.20')]"
23 May 1941,U-38,Heinrich Liebe,Berhala,"6,622",nl,OB-318,"[('9.83', '-17.83')]"
24 May 1941,U-103,Viktor Schütze,Marionga,"4,236",gr,OB-317,"[('5.70', '-10.48')]"
24 May 1941,U-38,Heinrich Liebe,Vulcain,"4,362",br,OB-317,"[('9.33', '-15.58')]"
25 May 1941,U-103,Viktor Schütze,Radames,"3,575",ag,-,"[('6.00', '-12.00')]"
25 May 1941,U-103,Viktor Schütze,Wangi Wangi,"7,789",nl,-,"[('5.40', '-12.00')]"
27 May 1941,U-107,Günter Hessler,Colonial,"5,108",br,OB-318,"[('9.22', '-15.15')]"
28 May 1941,U-107,Günter Hessler,Papalemos,"3,748",gr,-,"[('8.10', '-16.30')]"
29 May 1941,U-38,Heinrich Liebe,Tabaristan,"6,251",br,-,"[('6.53', '-15.38')]"
29 May 1941,U-557,Ottokar Arnold Paulssen,Empire Storm,"7,290",br,HX-128,"[('55.00', '-39.83')]"
30 May 1941,U-106,Jürgen Oesten,Silveryew,"6,373",br,-,"[('16.70', '-25.48')]"
30 May 1941,U-38,Heinrich Liebe,Empire Protector,"6,181",br,-,"[('6.00', '-14.42')]"
31 May 1941,U-106,Jürgen Oesten,Clan Macdougall,"6,843",br,-,"[('16.83', '-25.17')]"
31 May 1941,U-107,Günter Hessler,Sire,"5,664",br,OB-320,"[('8.83', '-15.50')]"
31 May 1941,U-147,Eberhard Wetjen,Gravelines (t.),"2,491",br,HX-127,
31 May 1941,U-204,Walter Kell,Holmsteinn,16,is,-,"[('65.65', '-26.38')]"
31 May 1941,U-38,Heinrich Liebe,Rinda,"6,029",nw,-,"[('6.87', '-15.23')]"
31 May 1941,U-69,Jost Metzler,Sangara (t.),"5,445",br,-,
1 Jun 1941,U-107,Günter Hessler,Alfred Jones,"5,013",br,OB-320,"[('8.00', '-15.00')]"
2 Jun 1941,U-108,Klaus Scholtz,Michael E.,"7,628",br,OB-327,"[('48.83', '-29.00')]"
2 Jun 1941,U-147,Eberhard Wetjen,Mokambo (d.),"4,996",be,OB-329,
3 Jun 1941,U-48,Herbert Schultze,Inversuir (d.),"9,456",br,OB-327,
3 Jun 1941,U-75,Helmuth Ringelmann,Eibergen,"4,801",nl,OB-327,"[('48.03', '-25.10')]"
3 Jun 1941,U-75,Helmuth Ringelmann,Inversuir,"9,456",br,OB-327,"[('48.50', '-28.50')]"
4 Jun 1941,U-101,Ernst Mengersen,Trecarrell,"5,271",br,OB-327,"[('47.17', '-31.00')]"
4 Jun 1941,U-69,Jost Metzler,Robert Hughes [Mine],"2,879",br,-,
5 Jun 1941,U-48,Herbert Schultze,Wellfield,"6,054",br,OB-328,"[('48.57', '-31.57')]"
6 Jun 1941,U-106,Jürgen Oesten,Sacramento Valley,"4,573",br,OB-324,"[('17.17', '-30.17')]"
6 Jun 1941,U-43,Wolfgang Lüth,Yselhaven,"4,802",nl,OB-328,"[('49.42', '-40.90')]"
6 Jun 1941,U-48,Herbert Schultze,Tregarthen,"5,201",br,OB-329,"[('46.28', '-36.33')]"
8 Jun 1941,U-103,Viktor Schütze,Elmdene,"4,853",br,OB-324,"[('8.27', '-16.83')]"
8 Jun 1941,U-107,Günter Hessler,Adda,"7,816",br,OB-323,"[('8.50', '-14.65')]"
8 Jun 1941,U-108,Klaus Scholtz,Baron Nairn,"3,164",br,OB-328,"[('47.58', '-39.03')]"
8 Jun 1941,U-108,Klaus Scholtz,Dirphys,"4,240",gr,OB-328,"[('47.73', '-39.03')]"
8 Jun 1941,U-38,Heinrich Liebe,Kingston Hill,"7,628",br,-,"[('9.58', '-29.67')]"
8 Jun 1941,U-46,Engelbert Endrass,Ensis (d.),"6,207",br,OB-330,
8 Jun 1941,U-48,Herbert Schultze,Pendrecht,"10,746",nl,OB-329,"[('45.30', '-36.67')]"
9 Jun 1941,U-101,Ernst Mengersen,Trevarrack,"5,270",br,OB-329,"[('46.75', '-38.00')]"
9 Jun 1941,U-46,Engelbert Endrass,Phidias,"5,623",br,OB-330,"[('48.42', '-26.20')]"
10 Jun 1941,U-108,Klaus Scholtz,Christian Krohg,"1,992",nw,OB-329,"[('47.05', '-42.25')]"
10 Jun 1941,U-204,Walter Kell,Mercier,"7,886",be,OB-330,"[('48.50', '-41.50')]"
10 Jun 1941,U-552,Erich Topp,Ainderby,"4,860",br,-,"[('55.50', '-12.17')]"
11 Jun 1941,U-79,Wolfgang Kaufmann,Havtor,"1,524",nw,-,"[('63.58', '-28.08')]"
12 Jun 1941,U-371,Heinrich Driver,Silverpalm,"6,373",br,-,"[('56.45', '-25.20')]"
12 Jun 1941,U-48,Herbert Schultze,Empire Dew,"7,005",br,OG-64,"[('51.15', '-30.27')]"
12 Jun 1941,U-552,Erich Topp,Chinese Prince,"8,593",br,-,"[('56.20', '-14.30')]"
12 Jun 1941,U-553,Karl Thurmann,Ranella,"5,590",nw,OG-64,"[('43.65', '-28.00')]"
12 Jun 1941,U-553,Karl Thurmann,Susan Mærsk,"2,355",br,OG-64,"[('44.75', '-25.25')]"
13 Jun 1941,U-107,Günter Hessler,Pandias,"4,981",gr,OG-63,"[('7.82', '-23.47')]"
13 Jun 1941,U-77,Heinrich Schonder,Tresillian,"4,743",br,OB-330,"[('44.67', '-45.50')]"
