date,vessel,type,class
Royal Navy,20 Jun 1941,HMS Resmilo,MS Trawler
Royal Navy,22 Jun 1941,HMS Beech (T 44),MS Trawler
Soviet Navy,23 Jun 1941,USSR Bystry,Destroyer
Soviet Navy,23 Jun 1941,USSR Gnevniy,Destroyer
Soviet Navy,23 Jun 1941,USSR M-78,Submarine
Royal Navy,23 Jun 1941,HMS Nogi,MS Trawler
Soviet Navy,23 Jun 1941,USSR Ronis,Submarine
Soviet Navy,23 Jun 1941,USSR S-1,Submarine
Soviet Navy,23 Jun 1941,USSR Spidola,Submarine
Royal Navy,24 Jun 1941,HMS Auckland (L 61 / U 61),Sloop
Soviet Navy,24 Jun 1941,USSR Lenin,Destroyer
Soviet Navy,24 Jun 1941,USSR M-71,Submarine
Soviet Navy,24 Jun 1941,USSR M-80,Submarine
Soviet Navy,24 Jun 1941,USSR S-3,Submarine
French Navy,25 Jun 1941,FR Souffleur,Submarine
Soviet Navy,26 Jun 1941,USSR Moskva,Flotilla leader
Royal Navy,26 Jun 1941,HMS Tranio,MS Trawler
Royal Navy,27 Jun 1941,HMS Force,MS Trawler
Soviet Navy,27 Jun 1941,USSR M-83,Submarine
Soviet Navy,27 Jun 1941,USSR M-99,Submarine
Royal Australian Navy,30 Jun 1941,HMAS Waterhen (D 22),Destroyer
Soviet Navy,1 Jul 1941,USSR M-81,Submarine
Royal Navy,1 Jul 1941,HMS Malvernian (F 102),Ocean boarding vessel
Royal Norwegian Navy,1 Jul 1941,HNoMS No. 5 (5),Motor Torpedo Boat
Royal Navy,4 Jul 1941,HMS Akranes (FY 513),MS Trawler
Soviet Navy,9 Jul 1941,USSR ShCh-206,Submarine
Royal Navy,11 Jul 1941,HMS Defender (H 07),Destroyer
Royal Navy,15 Jul 1941,HMS Lady Somers (F 109),Ocean boarding vessel
Royal Navy,15 Jul 1941,HMS Prince Philippe,Landing Ship Infantry
Royal Navy,16 Jul 1941,HMS MGB 90 (ii) (MGB 90),Motor Gun Boat
Royal Navy,16 Jul 1941,HMS MGB 92 (ii) (MGB 92),Motor Gun Boat
Royal Navy,17 Jul 1941,HMS LCT 10 (LCT 10),Landing Craft Tank
Soviet Navy,19 Jul 1941,USSR Serdity,Destroyer
Royal Navy,19 Jul 1941,HMS Umpire (N 82),Submarine
Soviet Navy,20 Jul 1941,USSR Stremitelny,Destroyer
Royal Navy,20 Jul 1941,HMS Union (N 56),Submarine
Soviet Navy,21 Jul 1941,USSR M-94,Submarine
Royal Navy,23 Jul 1941,HMS Fearless (H 67),Destroyer
Soviet Navy,27 Jul 1941,USSR Smely,Destroyer
Royal Navy,29 Jul 1941,HMS LCT 8 (LCT 8),Landing Craft Tank
Royal Navy,30 Jul 1941,HMS Cachalot (N 83),Submarine
Soviet Navy,Aug 1941,USSR M-103,Submarine
Soviet Navy,Aug 1941,USSR M-57,Submarine
Soviet Navy,Aug 1941,USSR M-63,Submarine
Royal Navy,Aug 1941,HMS P 33 (P 33),Submarine
Soviet Navy,Aug 1941,USSR S-6,Submarine
Soviet Navy,2 Aug 1941,USSR S-11,Submarine
Royal Navy,6 Aug 1941,HMS Agate (T 87),ASW Trawler
Royal Navy,7 Aug 1941,HMS MMS 39 (J 539),Motor minesweeper
Soviet Navy,9 Aug 1941,USSR Karl Marx,Destroyer
Royal Navy,9 Aug 1941,HMS MA/SB 62 (MA/SB 62),Motor Anti-Submarine  Boat
Royal Navy,12 Aug 1941,HMS LCT 14 (LCT 14),Landing Craft Tank
Royal Navy,12 Aug 1941,HMS Picotee (K 63),Corvette
Royal Navy,18 Aug 1941,HMS P 32 (P 32),Submarine
Soviet Navy,18 Aug 1941,USSR Statny,Destroyer
Royal Norwegian Navy,19 Aug 1941,HNoMS Bath (I 17),Destroyer
Royal Navy,19 Aug 1941,HMS LCT 12 (LCT 12),Landing Craft Tank
Royal Navy,19 Aug 1941,HMS Thorbryn,ASW Whaler
Royal Navy,20 Aug 1941,HMS Lorinda,MS Trawler
Royal Navy,23 Aug 1941,HMS Zinnia (K 98),Corvette
Soviet Navy,24 Aug 1941,USSR Engels,Destroyer
Royal Navy,25 Aug 1941,HMS Kos XVI,MS Whaler
Royal Navy,27 Aug 1941,HMS Skudd 3,MS Whaler
Soviet Navy,28 Aug 1941,USSR Artyom,Destroyer
Soviet Navy,28 Aug 1941,USSR Kalinin,Destroyer
Soviet Navy,28 Aug 1941,USSR S-5,Submarine
Soviet Navy,28 Aug 1941,USSR ShCh-301,Submarine
Soviet Navy,28 Aug 1941,USSR Skory,Destroyer
Soviet Navy,28 Aug 1941,USSR Volodarsky,Destroyer
Soviet Navy,28 Aug 1941,USSR Yakov Sverdlov,Destroyer
Soviet Navy,Sep 1941,USSR P-1,Submarine
Soviet Navy,Sep 1941,USSR ShCh-319,Submarine
Royal Navy,6 Sep 1941,HMS Brora (T 99),MS Trawler
Royal Canadian Navy,19 Sep 1941,HMCS Levis (i) (K 115),Corvette
Royal Navy,20 Sep 1941,HMS Marconi,MS Trawler
Soviet Navy,21 Sep 1941,USSR Frunze,Destroyer
Royal Navy,22 Sep 1941,HMS ML 144 (ML 144),Motor Launch
Soviet Navy,23 Sep 1941,USSR M-74,Submarine
Royal Navy,27 Sep 1941,HMS Springbank (F 50),Anti-Aircraft ship
Royal Navy,30 Sep 1941,HMS Star of Deveron,MS Trawler
Soviet Navy,Oct 1941,USSR M-58,Submarine
Soviet Navy,Oct 1941,USSR S-8,Submarine
Soviet Navy,Oct 1941,USSR ShCh-322,Submarine
Royal Navy,4 Oct 1941,HMS Kos XXI,ASW Whaler
Royal Navy,10 Oct 1941,HMS LCT 102 (LCT 102),Landing Craft Tank
Royal Navy,10 Oct 1941,HMS LCT 103 (LCT 103),Landing Craft Tank
Royal Navy,11 Oct 1941,HMS ML 288 (ML 288),Motor Launch
Royal Navy,12 Oct 1941,HMS LCT 2 (LCT 2),Landing Craft Tank
Royal Navy,12 Oct 1941,HMS LCT 7 (LCT 7),Landing Craft Tank
Royal Navy,14 Oct 1941,HMS Fleur de Lys (K 122),Corvette
Royal Navy,17 Oct 1941,HMS Gladiolus (K 34),Corvette
Royal Navy,18 Oct 1941,HMS Assurance (i) (W 59),Rescue Tug
Royal Navy,18 Oct 1941,HMS Broadwater (H 81),Destroyer
Royal Navy,22 Oct 1941,HMS Alder (T 84),MS Trawler
Royal Navy,24 Oct 1941,HMS Cossack (i) (F 03),Destroyer
Royal Navy,24 Oct 1941,HMS Emilion (FY 853),MS Trawler
Royal Navy,24 Oct 1941,HMS Lucienne Jeanne (FY 1769),MS Trawler
Royal Navy,25 Oct 1941,HMS Latona (M 76),Minelayer
US Navy,31 Oct 1941,USS Reuben James (i) (DD 245),Destroyer
Soviet Navy,Nov 1941,USSR Kalev,Submarine
Royal Navy,Nov 1941,HMS LCT 110 (LCT 110),Landing Craft Tank
Royal Navy,Nov 1941,HMS LCT 129 (LCT 129),Landing Craft Tank
Soviet Navy,Nov 1941,USSR M-59,Submarine
Soviet Navy,Nov 1941,USSR S-34,Submarine
Soviet Navy,Nov 1941,USSR ShCh-211,Submarine
Soviet Navy,Nov 1941,USSR ShCh-324,Submarine
Royal Navy,2 Nov 1941,HMS Tetrarch (N 77),Submarine
Soviet Navy,3 Nov 1941,USSR M-34,Submarine
Royal Navy,4 Nov 1941,HMS LCT 105 (LCT 105),Landing Craft Tank
Royal Navy,4 Nov 1941,HMS LCT 109 (LCT 109),Landing Craft Tank
Soviet Navy,4 Nov 1941,USSR Smetlivy,Destroyer
Royal Navy,6 Nov 1941,HMS Flotta (T 171),MS Trawler
Soviet Navy,12 Nov 1941,USSR Chervona Ukraina,Light cruiser
Royal Navy,13 Nov 1941,HMS Ark Royal (91),Aircraft Carrier
Soviet Navy,13 Nov 1941,USSR Surovy,Destroyer
Soviet Navy,14 Nov 1941,USSR Gordiy,Destroyer
Soviet Navy,14 Nov 1941,USSR L-2,Submarine
Soviet Navy,14 Nov 1941,USSR M-98,Submarine
Royal Australian Navy,19 Nov 1941,HMAS Sydney (D 48),Light cruiser
Royal Navy,21 Nov 1941,HMS ML 219 (ML 219),Motor Launch
Royal Navy,22 Nov 1941,HMS St. Apollo,ASW Trawler
Royal Navy,24 Nov 1941,HMS Dunedin (D 93),Light cruiser
Royal Navy,25 Nov 1941,HMS Barham (04),Battleship
Royal Australian Navy,27 Nov 1941,HMAS Parramatta (L 44 / U 44),Sloop
Royal Navy,Dec 1941,HMS Thracian (D 86),Destroyer
Royal Navy,5 Dec 1941,HMS Chakdina,Armed boarding vessel
Royal Navy,6 Dec 1941,HMS Perseus (i) (N 36),Submarine
Soviet Navy,6 Dec 1941,USSR ShCh-204,Submarine
US Navy,7 Dec 1941,USS Arizona (BB 39),Battleship
Royal Navy,7 Dec 1941,HMS Chantala,Armed boarding vessel
US Navy,7 Dec 1941,USS Oklahoma (BB 37),Battleship
US Navy,7 Dec 1941,USS Utah (AG 16),Battleship
Royal Canadian Navy,7 Dec 1941,HMCS Windflower (K 155),Corvette
Royal Navy,8 Dec 1941,HMS Milford Earl,MS Trawler
US Navy,8 Dec 1941,USS Penguin (AM 33),Minesweeper
Royal Navy,8 Dec 1941,HMS Peterel (T 21),River gunboat
Royal Navy,8 Dec 1941,HMS Phineas Beard,MS Trawler
Royal Indian Navy,8 Dec 1941,HMIS Prabhavati,Auxiliary patrol vessel
Royal Navy,8 Dec 1941,HMS St. Dominic,Rescue Tug
US Navy,8 Dec 1941,USS Wake (PR-3),River gunboat
US Navy,10 Dec 1941,USS Bittern (AM 36),Minesweeper
Royal Navy,10 Dec 1941,HMS Prince of Wales (53),Battleship
Royal Navy,10 Dec 1941,HMS Repulse (34),Battlecruiser
Royal Navy,11 Dec 1941,HMS Lady Shirley,ASW Trawler
Royal Navy,11 Dec 1941,HMS Rosabelle,Armed Yacht
Royal Navy,14 Dec 1941,HMS MA/SB 30 (MA/SB 30),Motor Anti-Submarine  Boat
Royal Navy,14 Dec 1941,HMS MTB 68 (MTB 68),Motor Torpedo Boat
Royal Navy,15 Dec 1941,HMS Galatea (71),Light cruiser
Royal Dutch Navy,15 Dec 1941,HNMS O 16,Submarine
US Navy,15 Dec 1941,USS PT 33,Motor torpedo boat
Royal Navy,16 Dec 1941,HMS LCT 11 (LCT 11),Landing Craft Tank
Royal Navy,16 Dec 1941,HMS MTB 8 (MTB 8),Motor Torpedo Boat
Royal Navy,19 Dec 1941,HMS Aldgate (Z 68),Barrage / Gate vessel
Royal Navy,19 Dec 1941,HMS Alliance (W 77),Tug
Royal Navy,19 Dec 1941,HMS Barlight (Z 57),Boom defence vessel
Royal Navy,19 Dec 1941,HMS MTB 12 (MTB 12),Motor Torpedo Boat
Royal Navy,19 Dec 1941,HMS MTB 26 (MTB 26),Motor Torpedo Boat
Royal Navy,19 Dec 1941,HMS Neptune (20),Light cruiser
Royal Dutch Navy,19 Dec 1941,HNMS O 20,Submarine
Royal Navy,19 Dec 1941,HMS Poet Chaucer,Tug
Royal Navy,19 Dec 1941,HMS Redstart (M 62),Minelayer
Royal Navy,19 Dec 1941,HMS Stanley (I 73),Destroyer
Royal Navy,19 Dec 1941,HMS Tern (T 64),River gunboat
Royal Navy,19 Dec 1941,HMS Watergate (Z 56),Barrage / Gate vessel
Royal Navy,20 Dec 1941,HMS Kandahar (F 28),Destroyer
Royal Navy,21 Dec 1941,HMS Audacity (D 10),Escort carrier
Royal Navy,21 Dec 1941,HMS Cicala (T 71),River gunboat
Royal Dutch Navy,21 Dec 1941,HNMS K XVII,Submarine
Royal Navy,24 Dec 1941,HMS Salvia (K 97),Corvette
Royal Dutch Navy,25 Dec 1941,HNMS K XVI,Submarine
Royal Navy,25 Dec 1941,HMS Robin (T 65),River gunboat
US Navy,25 Dec 1941,USS Sealion (i) (195),Submarine
Royal Navy,26 Dec 1941,HMS H 31 (N 31),Submarine
Royal Navy,26 Dec 1941,HMS MTB 10 (MTB 10),Motor Torpedo Boat
Royal Navy,26 Dec 1941,HMS MTB 11 (MTB 11),Motor Torpedo Boat
Royal Navy,26 Dec 1941,HMS MTB 27 (MTB 27),Motor Torpedo Boat
Royal Navy,26 Dec 1941,HMS MTB 7 (MTB 7),Motor Torpedo Boat
Royal Navy,26 Dec 1941,HMS MTB 9 (MTB 9),Motor Torpedo Boat
Royal Navy,1942,HMS Churting,Tug
Royal Navy,2 Jan 1942,HMS Daisy,Tug
Royal Navy,4 Jan 1942,HMS Sona (FY 027),Armed Yacht
Royal Navy,9 Jan 1942,HMS Vimiera (L 29),Destroyer
Soviet Navy,10 Jan 1942,USSR M-175,Submarine
Royal Dutch Navy,11 Jan 1942,HNMS Prins van Oranje,Minelayer
Royal Navy,14 Jan 1942,HMS Triumph (i) (N 18),Submarine
Royal Navy,16 Jan 1942,HMS Irvana (FY 663),MS Trawler
Royal Navy,17 Jan 1942,HMS Gurkha (ii) (G 63),Destroyer
Royal Navy,17 Jan 1942,HMS Matabele (F 26),Destroyer
Royal Navy,17 Jan 1942,HMS MTB 47 (MTB 47),Motor Torpedo Boat
Royal Navy,18 Jan 1942,HMS Erin,ASW Trawler
Royal Navy,18 Jan 1942,HMS Honjo (FY 661),MS Trawler
US Navy,20 Jan 1942,USS PT 31,Motor torpedo boat
US Navy,20 Jan 1942,USS S-36 (141),Submarine
US Navy,23 Jan 1942,USS Neches (i) (AO 5),Oiler
US Navy,24 Jan 1942,USS S-26 (131),Submarine
Royal Navy,27 Jan 1942,HMS Thanet (H 29),Destroyer
Royal Navy,29 Jan 1942,HMS Sotra,MS Whaler
United States Coast Guard,30 Jan 1942,USCGC Alexander Hamilton (WPG 34),Cutter
Royal Navy,30 Jan 1942,HMS Loch Alsh,MS Trawler
Royal Navy,31 Jan 1942,HMS Belmont (H 46),Destroyer
Royal Navy,31 Jan 1942,HMS Culver (Y 87),Sloop
Royal Navy,Feb 1942,HMS Dowgate (Z 17),Barrage / Gate vessel
Royal Navy,Feb 1942,HMS Ludgate (Z 45),Barrage / Gate vessel
Royal Navy,2 Feb 1942,HMS Cape Spartel,MS Trawler
Royal Navy,2 Feb 1942,HMS Cloughton Wyke (4.446),MS Trawler
Royal Navy,5 Feb 1942,HMS Arbutus (i) (K 86),Corvette
Free French Navy,9 Feb 1942,FFL Alysse (K 100),Corvette
US Navy,11 Feb 1942,USS Shark (i) (174),Submarine
Royal Canadian Navy,11 Feb 1942,HMCS Spikenard (K 198),Corvette
Royal Navy,12 Feb 1942,HMS Maori (F 24),Destroyer
Royal Navy,13 Feb 1942,HMS MMS 180 (J 680),Motor minesweeper
Royal Navy,13 Feb 1942,HMS Tempest (N 86),Submarine
Royal Navy,14 Feb 1942,HMS Dragonfly (T 11),River gunboat
Royal Navy,14 Feb 1942,HMS Grasshopper (T 85),River gunboat
Royal Navy,14 Feb 1942,HMS Kung Wo,Minelayer
Royal Navy,14 Feb 1942,HMS ML 311 (ML 311),Motor Launch
Royal Navy,14 Feb 1942,HMS Pengawal,Tug
Royal Navy,14 Feb 1942,HMS Scorpion (i) (T 67),River gunboat
Royal Navy,14 Feb 1942,HMS St. Breock (W 56),Rescue Tug
Royal Navy,14 Feb 1942,HMS St. Just (W 90),Rescue Tug
Royal Navy,15 Feb 1942,HMS ML 169 (ML 169),Motor Launch
Royal Navy,15 Feb 1942,HMS ML 310 (ML 310),Motor Launch
Royal Navy,15 Feb 1942,HMS ML 433 (ML 433),Motor Launch
Royal Dutch Navy,15 Feb 1942,HNMS Pro Patria,Minelayer
Royal Dutch Navy,15 Feb 1942,HNMS Van Ghent (GT),Destroyer
Royal Navy,15 Feb 1942,HMS Yin Ping,Tug
Royal Navy,16 Feb 1942,HMS HDML 1062 (ML 1062),Harbour Defence Motor Launch
Royal Dutch Navy,17 Feb 1942,HNMS Van Nes (VN),Destroyer
Royal Navy,18 Feb 1942,HMS Botanic (FY 707),MS Trawler
Royal Dutch Navy,18 Feb 1942,HNMS K VII,Submarine
French Navy,18 Feb 1942,FR Surcouf,Submarine
US Navy,18 Feb 1942,USS Truxtun (DD 229),Destroyer
US Navy,19 Feb 1942,USS Peary (DD 226),Destroyer
Royal Dutch Navy,19 Feb 1942,HNMS Piet Hein (PH),Destroyer
Royal Navy,23 Feb 1942,HMS P 38 (P 38),Submarine
Royal Navy,27 Feb 1942,HMS Electra (H 27),Destroyer
Royal Dutch Navy,27 Feb 1942,HNMS Java,Light cruiser
Royal Navy,27 Feb 1942,HMS Jupiter (F 85),Destroyer
Royal Dutch Navy,27 Feb 1942,HNMS Kortenaer (KN),Destroyer
US Navy,27 Feb 1942,USS Langley (AV 3),Seaplane tender
Royal Dutch Navy,28 Feb 1942,HNMS De Ruyter,Light cruiser
US Navy,28 Feb 1942,USS Jacob Jones (i) (DD 130),Destroyer
Royal Navy,Mar 1942,HMS LCT 155 (LCT 155),Landing Craft Tank
Soviet Navy,Mar 1942,USSR ShCh-210,Submarine
Royal Dutch Navy,1 Mar 1942,HNMS A,Minesweeper
US Navy,1 Mar 1942,USS Edsall (i) (DD 219),Destroyer
Royal Navy,1 Mar 1942,HMS Encounter (H 10),Destroyer
Royal Dutch Navy,1 Mar 1942,HNMS Evertsen (EV),Destroyer
Royal Navy,1 Mar 1942,HMS Exeter (68),Heavy cruiser
Royal Navy,1 Mar 1942,HMS HDML 1063 (ML 1063),Harbour Defence Motor Launch
US Navy,1 Mar 1942,USS Houston (i) (CA 30),Heavy cruiser
US Navy,1 Mar 1942,USS Pecos (i) (AO 6),Oiler
Royal Australian Navy,1 Mar 1942,HMAS Perth (D 29),Light cruiser
US Navy,1 Mar 1942,USS Pillsbury (i) (DD 227),Destroyer
US Navy,1 Mar 1942,USS Pope (i) (DD 225),Destroyer
Royal Indian Navy,1 Mar 1942,HMIS Sohpie Marie,Auxiliary patrol vessel
Royal Dutch Navy,2 Mar 1942,HNMS B,Minesweeper
Royal Dutch Navy,2 Mar 1942,HNMS Banckert (BK),Destroyer
Royal Dutch Navy,2 Mar 1942,HNMS Bangkalan,Minelayer
Royal Dutch Navy,2 Mar 1942,HNMS D,Minesweeper
Royal Dutch Navy,2 Mar 1942,HNMS K X,Submarine
Royal Dutch Navy,2 Mar 1942,HNMS K XIII,Submarine
Royal Dutch Navy,2 Mar 1942,HNMS K XVIII,Submarine
Royal Dutch Navy,2 Mar 1942,HNMS Rigel,Minelayer
Royal Dutch Navy,2 Mar 1942,HNMS Soemenep,Minelayer
US Navy,2 Mar 1942,USS Stewart (i) (DD 224),Destroyer
Royal Navy,2 Mar 1942,HMS Stronghold (H 50),Destroyer
Royal Dutch Navy,2 Mar 1942,HNMS Witte de With (WW),Destroyer
US Navy,3 Mar 1942,USS Asheville (PG-21),Gunboat
US Navy,3 Mar 1942,USS Perch (i) (176),Submarine
Royal Navy,4 Mar 1942,HMS MMS 51 (J 551),Motor minesweeper
Royal Australian Navy,4 Mar 1942,HMAS Yarra (L 77 / U 77),Sloop
Royal Dutch Navy,6 Mar 1942,HNMS C,Minesweeper
Royal Dutch Navy,6 Mar 1942,HNMS Pieter de Bitter,Minesweeper
Royal Dutch Navy,7 Mar 1942,HNMS Gouden Leeuw,Minelayer
Royal Dutch Navy,8 Mar 1942,HNMS Eland Dubois,Minesweeper
Royal Dutch Navy,8 Mar 1942,HNMS Jan van Amstel,Minesweeper
Royal Dutch Navy,8 Mar 1942,HNMS Krakatau,Minelayer
Royal Navy,8 Mar 1942,HMS Northern Princess (4.06),ASW Trawler
Royal Navy,9 Mar 1942,HMS Notts County (FY 250),ASW Trawler
Royal Navy,9 Mar 1942,HMS Shera (FY 1724),MS Whaler
Royal Navy,11 Mar 1942,HMS Naiad (93),Light cruiser
Royal Navy,11 Mar 1942,HMS Stella Capella (FY 107),ASW Trawler
US Navy,13 Mar 1942,USS PT 32,Motor torpedo boat
Royal Navy,15 Mar 1942,HMS Vortigern (D 37),Destroyer
Royal Navy,17 Mar 1942,HMS Adept (W 107),Rescue Tug
Royal Navy,20 Mar 1942,HMS Heythrop (L 85),Escort destroyer
Royal Navy,22 Mar 1942,HMS ML 129 (ML 129),Motor Launch
Royal Navy,22 Mar 1942,HMS ML 132 (ML 132),Motor Launch
Royal Navy,24 Mar 1942,HMS Southwold (L 10),Escort destroyer
Royal Navy,25 Mar 1942,HMS Sulla (FY 1874),MS Whaler
Royal Navy,26 Mar 1942,HMS Jaguar (F 34),Destroyer
Royal Navy,26 Mar 1942,HMS Legion (G 74),Destroyer
Royal Navy,26 Mar 1942,HMS P 39 (P 39),Submarine
Royal Navy,28 Mar 1942,HMS Campbeltown (I 42),Destroyer
Royal Navy,28 Mar 1942,HMS MGB 314 (MGB 314),Motor Gun Boat
Royal Navy,28 Mar 1942,HMS ML 156 (ML 156),Motor Launch
Royal Navy,28 Mar 1942,HMS ML 177 (ML 177),Motor Launch
Free French Navy,28 Mar 1942,FFL ML 192 (ML 192),Motor Launch
Free French Navy,28 Mar 1942,FFL ML 262 (ML 262),Motor Launch
Free French Navy,28 Mar 1942,FFL ML 267 (ML 267),Motor Launch
Free French Navy,28 Mar 1942,FFL ML 268 (ML 268),Motor Launch
Royal Navy,28 Mar 1942,HMS ML 270 (ML 270),Motor Launch
Royal Navy,28 Mar 1942,HMS ML 298 (ML 298),Motor Launch
Royal Navy,28 Mar 1942,HMS ML 306 (ML 306),Motor Launch
Royal Navy,28 Mar 1942,HMS ML 446 (ML 446),Motor Launch
Royal Navy,28 Mar 1942,HMS ML 447 (ML 447),Motor Launch
Royal Navy,28 Mar 1942,HMS ML 457 (ML 457),Motor Launch
Royal Navy,28 Mar 1942,HMS MTB 74 (MTB 74),Motor Torpedo Boat
Soviet Navy,Apr 1942,USSR ShCh-401,Submarine
Royal Navy,1 Apr 1942,HMS P 36 (P 36),Submarine
Royal Navy,1 Apr 1942,HMS Pandora (N 42),Submarine
Royal Navy,1 Apr 1942,HMS Solomon,MS Trawler
Soviet Navy,3 Apr 1942,USSR Shaumian,Destroyer
Royal Hellenic Navy,4 Apr 1942,RHS Glavkos (Y 6),Submarine
Soviet Navy,4 Apr 1942,USSR Sovershenny,Destroyer
Royal Navy,5 Apr 1942,HMS Abingdon (J 23),Minesweeper
Royal Navy,5 Apr 1942,HMS Cornwall (56),Heavy cruiser
Royal Navy,5 Apr 1942,HMS Dorsetshire (40),Heavy cruiser
Royal Navy,5 Apr 1942,HMS Hector (F 45),Armed Merchant Cruiser
Royal Navy,5 Apr 1942,HMS Tenedos (H 04),Destroyer
Royal Navy,6 Apr 1942,HMS Havock (H 43),Destroyer
Royal Indian Navy,6 Apr 1942,HMIS Indus (L 67 / U 67),Sloop
Royal Navy,6 Apr 1942,HMS West Cocker,Tug
Royal Navy,7 Apr 1942,HMS Emily,Tug
Royal Navy,7 Apr 1942,HMS Hellespont (W 86),Tug
Royal Navy,8 Apr 1942,HMS Moor,Mooring vessel
Royal Navy,8 Apr 1942,HMS Svana (FY 1707),MS Whaler
Royal Navy,8 Apr 1942,HMS Thorgrim,ASW Whaler
Royal Navy,9 Apr 1942,HMS Hermes (D 95),Aircraft Carrier
Royal Navy,9 Apr 1942,HMS Hollyhock (K 64),Corvette
Royal Navy,9 Apr 1942,HMS Lance (G 87),Destroyer
US Navy,9 Apr 1942,USS Napa (AT 32),Fleet tug
US Navy,9 Apr 1942,USS PT 34,Motor torpedo boat
Soviet Navy,9 Apr 1942,USSR ShCh-421,Submarine
Royal Australian Navy,9 Apr 1942,HMAS Vampire (D 68),Destroyer
US Navy,10 Apr 1942,USS Canopus (AS 9),Submarine tender
US Navy,10 Apr 1942,USS Finch (AM 9),Minesweeper
Royal Navy,11 Apr 1942,HMS Kingston (F 64),Destroyer
Royal Navy,11 Apr 1942,HMS St. Cathan (FY 234),ASW Trawler
US Navy,12 Apr 1942,USS PT 35,Motor torpedo boat
Royal Navy,13 Apr 1942,HMS Coral (T 07),ASW Trawler
Royal Navy,13 Apr 1942,HMS Lord Snowden (FY 115),ASW Trawler
Royal Navy,14 Apr 1942,HMS Upholder (N 99),Submarine
US Navy,15 Apr 1942,USS PT 41,Motor torpedo boat
Royal Navy,18 Apr 1942,HMS Andromeda,Tug
Royal Navy,21 Apr 1942,HMS Jade (T 56),ASW Trawler
US Navy,26 Apr 1942,USS Sturtevant (i) (DD 240),Destroyer
Royal Navy,27 Apr 1942,HMS Urge (N 17),Submarine
Royal Navy,28 Apr 1942,HMS West Dean,Tug
Royal Navy,1 May 1942,HMS Punjabi (F 21),Destroyer
Royal Navy,2 May 1942,HMS Edinburgh (16),Light cruiser
Polish Navy,2 May 1942,ORP Jastrzab (P 551),Submarine
US Navy,2 May 1942,USS Mindanao (PR-8),River gunboat
US Navy,4 May 1942,USS Pigeon (ASR 6),Minesweeper
US Navy,4 May 1942,USS Tanager (AM 5),Minesweeper
French Navy,5 May 1942,FR Bévéziers,Submarine
French Navy,5 May 1942,FR D'Entrecasteaux,Colonial sloop
US Navy,5 May 1942,USS Genesee (AT 55),Fleet tug
US Navy,5 May 1942,USS Quail (i) (AM 15),Minesweeper
Royal Navy,6 May 1942,HMS Auricula (K 12),Corvette
US Navy,6 May 1942,USS Luzon (PR-7),River gunboat
Royal Navy,6 May 1942,HMS ML 160 (ML 160),Motor Launch
US Navy,6 May 1942,USS Oahu (PR-6),River gunboat
Royal Navy,6 May 1942,HMS Senateur Duhamel (FY 327),ASW Trawler
French Navy,7 May 1942,FR Le Héros,Submarine
Royal Navy,7 May 1942,HMS ML 130 (ML 130),Motor Launch
US Navy,7 May 1942,USS Sims (i) (DD 409),Destroyer
US Navy,8 May 1942,USS Lexington (CV 2),Aircraft Carrier
French Navy,8 May 1942,FR Monge,Submarine
Royal Navy,8 May 1942,HMS Olympus (N 35),Submarine
Royal Navy,11 May 1942,HMS Kipling (F 91),Destroyer
Royal Navy,11 May 1942,HMS Lively (G 40),Destroyer
US Navy,11 May 1942,USS Neosho (i) (AO 23),Oiler
Royal Navy,12 May 1942,HMS Bedfordshire (FY 141),ASW Trawler
Royal Navy,12 May 1942,HMS Jackal (F 22),Destroyer
Soviet Navy,12 May 1942,USSR K-23,Submarine
Royal Navy,13 May 1942,HMS MTB 220 (MTB 220),Motor Torpedo Boat
Soviet Navy,14 May 1942,USSR Dzerjinsky,Destroyer
Royal Navy,15 May 1942,HMS Trinidad (46),Light cruiser
Royal Navy,16 May 1942,HMS MTB 338 (MTB 338),Motor Torpedo Boat
Royal Navy,27 May 1942,HMS Arctic Pioneer (FY 164),ASW Trawler
Royal Navy,27 May 1942,HMS Fitzroy (i) (J 03),Minesweeper
Soviet Navy,Jun 1942,USSR M-95,Submarine
Royal Navy,3 Jun 1942,HMS Kos XIX,ASW Whaler
US Navy,6 Jun 1942,USS Hammann (i) (DD 412),Destroyer
US Navy,7 Jun 1942,USS Gannet (AVP 8),Minesweeper
US Navy,7 Jun 1942,USS Yorktown (i) (CV 5),Aircraft carrier
Free French Navy,9 Jun 1942,FFL Mimosa (K 11),Corvette
Soviet Navy,10 Jun 1942,USSR D-3 / Krasnovgardeyets,Submarine
Soviet Navy,10 Jun 1942,USSR Svobodny,Destroyer
Royal Navy,12 Jun 1942,HMS Grove (L 77),Escort destroyer
Soviet Navy,13 Jun 1942,USSR ShCh-405,Submarine
Royal Navy,14 Jun 1942,HMS MTB 259 (MTB 259),Motor Torpedo Boat
Royal Navy,15 Jun 1942,HMS Airedale (L 07),Escort destroyer
Royal Navy,15 Jun 1942,HMS Bedouin (F 67),Destroyer
Royal Navy,15 Jun 1942,HMS Hasty (H 24),Destroyer
Royal Navy,15 Jun 1942,HMS Kingston Ceylonite (FY 214),ASW Trawler
Royal Navy,15 Jun 1942,HMS MTB 201 (MTB 201),Motor Torpedo Boat
Royal Navy,16 Jun 1942,HMS Hermione (74),Light cruiser
Polish Navy,16 Jun 1942,ORP Kujawiak (L 72),Escort destroyer
