uboat,commander,ship_name,tonnage,nationality,convoy,coordinates,year,month,day
U-105,Georg Schewe,Harmodius,"5,229",0,160,"[('20.58', '-20.67')]",1941,3,8
U-124,Georg-Wilhelm Schulz,Hindpool,"4,897",0,160,"[('20.85', '-20.53')]",1941,3,8
U-124,Georg-Wilhelm Schulz,Lahore,"5,304",0,160,"[('20.85', '-20.53')]",1941,3,8
U-124,Georg-Wilhelm Schulz,Nardana,"7,974",0,160,"[('20.85', '-20.53')]",1941,3,8
U-124,Georg-Wilhelm Schulz,Tielbank,"5,984",0,160,"[('20.85', '-20.53')]",1941,3,8
UA,Hans Eckermann,Dunaff Head,"5,258",0,159,"[('60.55', '-18.83')]",1941,3,8
U-552,Erich Topp,Reykjaborg,687,24,0,"[('58.85', '-11.00')]",1941,3,10
U-106,Jürgen Oesten,Memnon,"7,506",0,0,"[('20.68', '-21.00')]",1941,3,11
U-37,Asmus Nicolai Clausen,Pétursey,91,24,0,"[('59.65', '-12.60')]",1941,3,12
U-106,Jürgen Oesten,Almkerk,"6,810",9,0,"[('13.35', '-20.42')]",1941,3,16
U-99,Otto Kretschmer,Beduin,"8,136",6,161,"[('60.70', '-13.17')]",1941,3,16
U-99,Otto Kretschmer,Ferm,"6,593",6,161,"[('60.70', '-13.17')]",1941,3,16
U-99,Otto Kretschmer,J.B. White,"7,375",19,161,"[('60.95', '-12.45')]",1941,3,16
U-99,Otto Kretschmer,Korshamn,"6,673",5,161,"[('61.15', '-12.33')]",1941,3,16
U-99,Otto Kretschmer,Venetia,"5,728",0,161,"[('61.00', '-12.60')]",1941,3,16
U-106,Jürgen Oesten,Andalusian,"3,082",0,162,"[('15.83', '-20.70')]",1941,3,17
U-106,Jürgen Oesten,Tapanoeli,"7,034",9,162,"[('15.93', '-20.82')]",1941,3,17
U-105,Georg Schewe,Medjerda,"4,380",0,162,"[('16.45', '-21.25')]",1941,3,18
U-105,Georg Schewe,Mandalika,"7,750",9,162,"[('18.27', '-21.43')]",1941,3,19
U-105,Georg Schewe,Benwyvis,"5,920",0,162,"[('20.00', '-26.00')]",1941,3,21
U-105,Georg Schewe,Clan Ogilvy,"5,802",0,162,"[('20.07', '-25.75')]",1941,3,21
U-105,Georg Schewe,Jhelum,"4,038",0,162,"[('21.00', '-25.00')]",1941,3,21
U-97,Udo Heilmann,Chama,"8,077",0,163,"[('49.58', '-19.22')]",1941,3,23
U-106,Jürgen Oesten,Eastlea,"4,267",0,0,"[('16.30', '-22.08')]",1941,3,24
U-97,Udo Heilmann,Hørda,"4,301",6,163,"[('49.00', '-23.00')]",1941,3,24
U-98,Robert Gysae,Koranton,"6,695",0,164,"[('58.85', '-22.60')]",1941,3,27
U-46,Engelbert Endrass,Liguria,"1,751",5,165,"[('59.45', '-24.60')]",1941,3,29
U-48,Herbert Schultze,Germanic,"5,352",0,166,"[('61.30', '-22.08')]",1941,3,29
U-48,Herbert Schultze,Hylton,"5,197",0,166,"[('61.37', '-22.00')]",1941,3,29
U-48,Herbert Schultze,Limbourg,"2,483",1,166,"[('61.30', '-22.08')]",1941,3,29
U-124,Georg-Wilhelm Schulz,Umona,"3,767",0,0,"[('7.35', '-14.85')]",1941,3,30
U-69,Jost Metzler,Coultarn,"3,759",0,165,"[('60.30', '-29.47')]",1941,3,30
U-46,Engelbert Endrass,Castor,"8,714",5,0,"[('57.97', '-30.52')]",1941,3,31
U-48,Herbert Schultze,Beaverdale,"9,957",0,0,"[('60.83', '-29.32')]",1941,4,2
U-73,Helmut Rosenbaum,Alderpool,"4,313",0,167,"[('58.35', '-27.98')]",1941,4,3
U-73,Helmut Rosenbaum,British Viscount,"6,895",0,167,"[('58.25', '-27.50')]",1941,4,3
U-73,Helmut Rosenbaum,Indier,"5,409",1,167,"[('58.22', '-27.60')]",1941,4,3
U-73,Helmut Rosenbaum,Westpool,"5,724",0,167,"[('58.20', '-27.67')]",1941,4,3
U-74,Eitel-Friedrich Kentrat,Leonidas Z. Cambanis,"4,274",8,167,"[('58.20', '-27.67')]",1941,4,3
U-124,Georg-Wilhelm Schulz,Marlene,"6,507",0,0,"[('8.25', '-14.32')]",1941,4,4
U-76,Friedrich von Hippel,Athenic,"5,351",0,167,"[('58.53', '-20.22')]",1941,4,4
U-94,Herbert Kuppisch,Harbledown,"5,414",0,167,"[('58.40', '-23.33')]",1941,4,4
U-97,Udo Heilmann,Conus,"8,132",0,168,"[('56.23', '-31.32')]",1941,4,4
U-98,Robert Gysae,Helle,"2,467",6,167,"[('59.10', '-24.20')]",1941,4,4
U-98,Robert Gysae,Welcombe,"5,122",0,167,"[('59.15', '-23.67')]",1941,4,4
U-105,Georg Schewe,Ena de Larrinaga,"5,200",0,0,"[('1.17', '-26.00')]",1941,4,5
U-94,Herbert Kuppisch,Lincoln Ellsworth,"5,580",6,0,"[('62.62', '-27.10')]",1941,4,6
U-124,Georg-Wilhelm Schulz,Portadoc,"1,746",19,0,"[('7.28', '-16.88')]",1941,4,7
U-107,Günter Hessler,Eskdene,"3,829",0,169,"[('34.72', '-24.35')]",1941,4,8
U-107,Günter Hessler,Helena Margareta,"3,316",0,169,"[('33.00', '-23.87')]",1941,4,8
U-124,Georg-Wilhelm Schulz,Tweed,"2,697",0,170,"[('7.72', '-15.18')]",1941,4,8
U-107,Günter Hessler,Duffield,"8,516",0,0,"[('31.22', '-23.40')]",1941,4,9
U-107,Günter Hessler,Harpathian,"4,671",0,169,"[('32.37', '-22.88')]",1941,4,9
U-98,Robert Gysae,Prins Willem II,"1,304",9,171,"[('59.83', '-24.42')]",1941,4,9
U-52,Otto Salman,Saleier,"6,563",9,172,"[('58.07', '-30.80')]",1941,4,10
U-124,Georg-Wilhelm Schulz,Aegeon,"5,285",8,0,"[('6.92', '-15.63')]",1941,4,11
U-124,Georg-Wilhelm Schulz,St. Helena,"4,313",0,0,"[('7.83', '-14.00')]",1941,4,12
U-108,Klaus Scholtz,HMS Rajputana (F 35),"16,644",0,171,"[('64.83', '-27.42')]",1941,4,13
U-124,Georg-Wilhelm Schulz,Corinthic,"4,823",0,0,"[('8.17', '-14.67')]",1941,4,13
U-52,Otto Salman,Ville de Liège,"7,430",1,0,"[('59.83', '-29.50')]",1941,4,14
U-123,Karl-Heinz Moehle,Venezuela,"6,991",5,0,"[('52.00', '-31.00')]",1941,4,17
U-73,Helmut Rosenbaum,Empire Endurance,"8,570",0,0,"[('53.08', '-23.23')]",1941,4,20
U-107,Günter Hessler,Calchas,"10,305",0,0,"[('23.83', '-27.00')]",1941,4,21
U-103,Viktor Schütze,Polyana,"2,267",6,173,"[('12.75', '-28.35')]",1941,4,25
U-110,Fritz-Julius Lemp,Henri Mory,"2,564",0,0,"[('54.00', '-19.00')]",1941,4,27
U-147,Eberhard Wetjen,Rimfakse,"1,334",6,0,"[('60.17', '-8.90')]",1941,4,27
U-552,Erich Topp,Beacon Grange,"10,119",0,0,"[('62.08', '-16.33')]",1941,4,27
U-552,Erich Topp,Commander Horton,227,0,0,"[('62.00', '-16.00')]",1941,4,27
U-96,Heinrich Lehmann-Willenbrock,Caledonia,"9,892",6,174,"[('60.05', '-16.17')]",1941,4,28
U-96,Heinrich Lehmann-Willenbrock,Oilfield,"8,516",0,174,"[('60.08', '-17.00')]",1941,4,28
U-96,Heinrich Lehmann-Willenbrock,Port Hardy,"8,897",0,174,"[('60.23', '-15.33')]",1941,4,28
U-75,Helmuth Ringelmann,City of Nagpur,"10,146",0,0,"[('52.50', '-26.00')]",1941,4,29
U-107,Günter Hessler,Lassell,"7,417",0,175,"[('12.92', '-28.93')]",1941,4,30
U-552,Erich Topp,Nerissa,"5,583",0,174,"[('55.95', '-10.13')]",1941,5,1
U-201,Adalbert Schnee,Capulet,"8,190",0,174,"[('60.00', '-16.00')]",1941,5,2
U-103,Viktor Schütze,Wray Castle,"4,253",0,0,"[('6.80', '-13.92')]",1941,5,3
U-95,Gerd Schreiber,Taranger,"4,873",6,0,"[('61.12', '-25.33')]",1941,5,3
U-38,Heinrich Liebe,Japan,"5,230",5,176,"[('10.25', '-16.55')]",1941,5,4
U-38,Heinrich Liebe,Queen Maud,"4,976",0,175,"[('7.90', '-16.68')]",1941,5,5
U-103,Viktor Schütze,Dunkwa,"4,752",0,176,"[('8.72', '-17.22')]",1941,5,6
U-103,Viktor Schütze,Surat,"5,529",0,0,"[('8.38', '-15.22')]",1941,5,6
U-105,Georg Schewe,Oakdene,"4,255",0,177,"[('6.32', '-27.92')]",1941,5,6
U-556,Herbert Wohlfarth,Emanuel,166,22,0,"[('62.10', '-8.17')]",1941,5,6
U-97,Udo Heilmann,HMS Camito (F 77),"6,833",0,0,"[('50.67', '-21.50')]",1941,5,6
U-97,Udo Heilmann,Sangro,"6,466",16,0,"[('50.70', '-21.37')]",1941,5,6
U-94,Herbert Kuppisch,Eastern Star,"5,658",6,178,"[('61.48', '-22.67')]",1941,5,7
U-94,Herbert Kuppisch,Ixion,"10,263",0,178,"[('61.48', '-22.67')]",1941,5,7
U-97,Udo Heilmann,Ramillies,"4,553",0,179,"[('48.08', '-32.43')]",1941,5,8
U-103,Viktor Schütze,City of Winchester,"7,120",0,180,"[('8.33', '-26.23')]",1941,5,9
U-110,Fritz-Julius Lemp,Bengore Head,"2,609",0,178,"[('60.75', '-33.03')]",1941,5,9
U-110,Fritz-Julius Lemp,Esmond,"4,976",0,178,"[('60.75', '-33.03')]",1941,5,9
U-201,Adalbert Schnee,Gregalia,"5,802",0,178,"[('60.40', '-32.62')]",1941,5,9
U-556,Herbert Wohlfarth,Empire Caribou,"4,861",0,178,"[('59.47', '-35.73')]",1941,5,10
U-556,Herbert Wohlfarth,Gand,"5,086",1,178,"[('57.90', '-37.57')]",1941,5,10
U-103,Viktor Schütze,City of Shanghai,"5,828",0,180,"[('6.67', '-27.83')]",1941,5,11
U-105,Georg Schewe,Benvrackie,"6,434",0,181,"[('0.82', '-20.25')]",1941,5,13
U-111,Wilhelm Kleinschmidt,Somersby,"5,170",0,182,"[('60.65', '-26.22')]",1941,5,13
U-98,Robert Gysae,HMS Salopian (F 94),"10,549",0,182,"[('59.07', '-38.25')]",1941,5,13
U-105,Georg Schewe,Benvenue,"5,920",0,183,"[('4.45', '-18.42')]",1941,5,15
U-43,Wolfgang Lüth,Notre Dame du Châtelet,488,3,0,"[('48.00', '-15.00')]",1941,5,15
U-105,Georg Schewe,Rodney Star,"11,803",0,0,"[('5.05', '-19.03')]",1941,5,16
U-107,Günter Hessler,Marisa,"8,029",9,0,"[('6.17', '-18.15')]",1941,5,17
U-107,Günter Hessler,Piako,"8,286",0,0,"[('7.87', '-14.95')]",1941,5,18
U-96,Heinrich Lehmann-Willenbrock,Empire Ridge,"2,922",0,184,"[('54.78', '-11.17')]",1941,5,19
U-109,Hans-Georg Fischer,Harpagus,"5,173",0,185,"[('56.78', '-40.92')]",1941,5,20
U-138,Franz Gramitzky,Javanese Prince,"8,593",0,0,"[('59.77', '-10.75')]",1941,5,20
U-556,Herbert Wohlfarth,British Security,"8,470",0,185,"[('57.47', '-41.12')]",1941,5,20
U-556,Herbert Wohlfarth,Cockaponset,"5,995",0,185,"[('57.47', '-41.12')]",1941,5,20
U-556,Herbert Wohlfarth,Darlington Court,"4,974",0,185,"[('57.47', '-41.12')]",1941,5,20
U-94,Herbert Kuppisch,John P. Pedersen,"6,128",6,185,"[('57.00', '-41.00')]",1941,5,20
U-94,Herbert Kuppisch,Norman Monarch,"4,718",0,185,"[('56.68', '-40.87')]",1941,5,20
U-98,Robert Gysae,Rothermere,"5,356",0,185,"[('57.80', '-41.60')]",1941,5,20
U-69,Jost Metzler,Robin Moor,"4,999",25,0,"[('6.17', '-25.67')]",1941,5,21
U-69,Jost Metzler,Tewkesbury,"4,601",0,0,"[('5.82', '-24.15')]",1941,5,21
U-93,Claus Korth,Elusa,"6,235",9,185,"[('59.00', '-38.08')]",1941,5,21
U-98,Robert Gysae,Marconi,"7,402",0,186,"[('58.00', '-41.00')]",1941,5,21
U-103,Viktor Schütze,British Grenadier,"6,857",0,0,"[('6.25', '-12.98')]",1941,5,22
U-111,Wilhelm Kleinschmidt,Barnby,"4,813",0,185,"[('60.50', '-34.20')]",1941,5,22
U-38,Heinrich Liebe,Berhala,"6,622",9,178,"[('9.83', '-17.83')]",1941,5,23
U-103,Viktor Schütze,Marionga,"4,236",8,179,"[('5.70', '-10.48')]",1941,5,24
U-38,Heinrich Liebe,Vulcain,"4,362",0,179,"[('9.33', '-15.58')]",1941,5,24
U-103,Viktor Schütze,Radames,"3,575",20,0,"[('6.00', '-12.00')]",1941,5,25
U-103,Viktor Schütze,Wangi Wangi,"7,789",9,0,"[('5.40', '-12.00')]",1941,5,25
U-107,Günter Hessler,Colonial,"5,108",0,178,"[('9.22', '-15.15')]",1941,5,27
U-107,Günter Hessler,Papalemos,"3,748",8,0,"[('8.10', '-16.30')]",1941,5,28
U-38,Heinrich Liebe,Tabaristan,"6,251",0,0,"[('6.53', '-15.38')]",1941,5,29
U-557,Ottokar Arnold Paulssen,Empire Storm,"7,290",0,187,"[('55.00', '-39.83')]",1941,5,29
U-106,Jürgen Oesten,Silveryew,"6,373",0,0,"[('16.70', '-25.48')]",1941,5,30
U-38,Heinrich Liebe,Empire Protector,"6,181",0,0,"[('6.00', '-14.42')]",1941,5,30
U-106,Jürgen Oesten,Clan Macdougall,"6,843",0,0,"[('16.83', '-25.17')]",1941,5,31
U-107,Günter Hessler,Sire,"5,664",0,188,"[('8.83', '-15.50')]",1941,5,31
U-204,Walter Kell,Holmsteinn,16,24,0,"[('65.65', '-26.38')]",1941,5,31
U-38,Heinrich Liebe,Rinda,"6,029",6,0,"[('6.87', '-15.23')]",1941,5,31
U-107,Günter Hessler,Alfred Jones,"5,013",0,188,"[('8.00', '-15.00')]",1941,6,1
U-108,Klaus Scholtz,Michael E.,"7,628",0,190,"[('48.83', '-29.00')]",1941,6,2
U-75,Helmuth Ringelmann,Eibergen,"4,801",9,190,"[('48.03', '-25.10')]",1941,6,3
U-75,Helmuth Ringelmann,Inversuir,"9,456",0,190,"[('48.50', '-28.50')]",1941,6,3
U-101,Ernst Mengersen,Trecarrell,"5,271",0,190,"[('47.17', '-31.00')]",1941,6,4
U-48,Herbert Schultze,Wellfield,"6,054",0,192,"[('48.57', '-31.57')]",1941,6,5
U-106,Jürgen Oesten,Sacramento Valley,"4,573",0,193,"[('17.17', '-30.17')]",1941,6,6
U-43,Wolfgang Lüth,Yselhaven,"4,802",9,192,"[('49.42', '-40.90')]",1941,6,6
U-48,Herbert Schultze,Tregarthen,"5,201",0,191,"[('46.28', '-36.33')]",1941,6,6
U-103,Viktor Schütze,Elmdene,"4,853",0,193,"[('8.27', '-16.83')]",1941,6,8
U-107,Günter Hessler,Adda,"7,816",0,194,"[('8.50', '-14.65')]",1941,6,8
U-108,Klaus Scholtz,Baron Nairn,"3,164",0,192,"[('47.58', '-39.03')]",1941,6,8
U-108,Klaus Scholtz,Dirphys,"4,240",8,192,"[('47.73', '-39.03')]",1941,6,8
U-38,Heinrich Liebe,Kingston Hill,"7,628",0,0,"[('9.58', '-29.67')]",1941,6,8
U-48,Herbert Schultze,Pendrecht,"10,746",9,191,"[('45.30', '-36.67')]",1941,6,8
U-101,Ernst Mengersen,Trevarrack,"5,270",0,191,"[('46.75', '-38.00')]",1941,6,9
U-46,Engelbert Endrass,Phidias,"5,623",0,195,"[('48.42', '-26.20')]",1941,6,9
U-108,Klaus Scholtz,Christian Krohg,"1,992",6,191,"[('47.05', '-42.25')]",1941,6,10
U-204,Walter Kell,Mercier,"7,886",1,195,"[('48.50', '-41.50')]",1941,6,10
U-552,Erich Topp,Ainderby,"4,860",0,0,"[('55.50', '-12.17')]",1941,6,10
U-79,Wolfgang Kaufmann,Havtor,"1,524",6,0,"[('63.58', '-28.08')]",1941,6,11
U-371,Heinrich Driver,Silverpalm,"6,373",0,0,"[('56.45', '-25.20')]",1941,6,12
U-48,Herbert Schultze,Empire Dew,"7,005",0,196,"[('51.15', '-30.27')]",1941,6,12
U-552,Erich Topp,Chinese Prince,"8,593",0,0,"[('56.20', '-14.30')]",1941,6,12
U-553,Karl Thurmann,Ranella,"5,590",6,196,"[('43.65', '-28.00')]",1941,6,12
U-553,Karl Thurmann,Susan Mærsk,"2,355",0,196,"[('44.75', '-25.25')]",1941,6,12
U-107,Günter Hessler,Pandias,"4,981",8,197,"[('7.82', '-23.47')]",1941,6,13
U-77,Heinrich Schonder,Tresillian,"4,743",0,195,"[('44.67', '-45.50')]",1941,6,13
U-751,Gerhard Bigalk,St. Lindsay,"5,370",0,196,"[('47.85', '-38.42')]",1941,6,14
U-552,Erich Topp,Norfolk,"10,948",0,0,"[('8.60', '-59.33')]",1941,6,18
U-123,Reinhard Hardegen,Ganda,"4,333",23,0,"[('34.17', '-11.67')]",1941,6,20
U-77,Heinrich Schonder,Arakaka,"2,379",0,0,"[('47.00', '-41.67')]",1941,6,22
U-144,Gert von Mittelstaedt,M-78,206,26,0,"[('57.47', '21.28')]",1941,6,23
U-203,Rolf Mützelburg,Kinross,"4,956",0,199,"[('55.38', '-38.82')]",1941,6,24
U-203,Rolf Mützelburg,Soløy,"4,402",6,200,"[('54.65', '-39.72')]",1941,6,24
U-371,Heinrich Driver,Vigrid,"4,765",6,200,"[('54.50', '-41.50')]",1941,6,24
U-651,Peter Lohmeyer,Brockley Hill,"5,297",0,200,"[('58.50', '-38.33')]",1941,6,24
U-108,Klaus Scholtz,Ellinico,"3,059",8,201,"[('51.00', '-41.00')]",1941,6,25
U-108,Klaus Scholtz,Nicolas Pateras,"4,362",8,199,"[('55.00', '-38.00')]",1941,6,25
U-75,Helmuth Ringelmann,Schie,"1,967",9,199,"[('53.03', '-42.17')]",1941,6,25
U-77,Heinrich Schonder,Anna Bulgaris,"4,603",8,0,"[('49.50', '-44.00')]",1941,6,25
U-123,Reinhard Hardegen,Oberon,"1,996",9,202,"[('25.72', '-22.78')]",1941,6,27
U-123,Reinhard Hardegen,P.L.M. 22,"5,646",0,202,"[('25.72', '-22.78')]",1941,6,27
U-149,Horst Höltring,M-99,206,26,0,"[('59.33', '21.20')]",1941,6,27
U-564,Reinhard Suhren,Maasdam,"8,812",9,200,"[('60.00', '-30.58')]",1941,6,27
U-564,Reinhard Suhren,Malaya II,"8,651",0,200,"[('59.93', '-30.58')]",1941,6,27
U-69,Jost Metzler,Empire Ability,"7,603",0,202,"[('23.83', '-21.17')]",1941,6,27
U-69,Jost Metzler,River Lugar,"5,423",0,202,"[('24.00', '-21.00')]",1941,6,27
U-103,Viktor Schütze,Ernani,"6,619",16,0,"[('27.87', '-26.28')]",1941,6,29
U-123,Reinhard Hardegen,Rio Azul,"4,088",0,202,"[('29.00', '-25.00')]",1941,6,29
U-564,Reinhard Suhren,Hekla,"1,215",24,0,"[('58.33', '-43.00')]",1941,6,29
U-651,Peter Lohmeyer,Grayburn,"6,342",0,200,"[('59.50', '-18.12')]",1941,6,29
U-66,Richard Zapp,George J. Goulandris,"4,345",8,202,"[('29.08', '-25.17')]",1941,6,29
U-66,Richard Zapp,Kalypso Vergotti,"5,686",8,202,"[('29.00', '-25.00')]",1941,6,29
U-66,Richard Zapp,Saint Anselm,"5,614",0,202,"[('31.00', '-26.00')]",1941,6,30
U-69,Jost Metzler,Robert L. Holt,"2,918",0,203,"[('24.25', '-20.00')]",1941,7,3
U-123,Reinhard Hardegen,Auditor,"5,444",0,203,"[('25.55', '-28.38')]",1941,7,4
U-96,Heinrich Lehmann-Willenbrock,Anselm,"5,954",0,0,"[('44.42', '-28.58')]",1941,7,5
U-98,Robert Gysae,Designer,"5,945",0,204,"[('42.98', '-31.67')]",1941,7,9
U-98,Robert Gysae,Inverness,"4,897",0,204,"[('42.77', '-32.75')]",1941,7,9
U-66,Richard Zapp,Holmside,"3,433",0,205,"[('19.00', '-21.50')]",1941,7,19
U-140,Hans-Jürgen Hellriegel,M-94,206,26,0,"[('58.85', '22.03')]",1941,7,21
U-141,Philipp Schüler,Botwey,"5,106",0,206,"[('55.70', '-9.88')]",1941,7,26
U-126,Ernst Bauer,Erato,"1,335",0,207,"[('43.17', '-17.50')]",1941,7,27
U-126,Ernst Bauer,Inga I,"1,304",6,207,"[('43.17', '-17.50')]",1941,7,27
U-203,Rolf Mützelburg,Hawkinge,"2,475",0,207,"[('44.92', '-17.73')]",1941,7,27
U-79,Wolfgang Kaufmann,Kellwyn,"1,459",0,207,"[('43.00', '-17.00')]",1941,7,27
U-203,Rolf Mützelburg,Lapland,"1,330",0,207,"[('40.60', '-15.50')]",1941,7,28
U-203,Rolf Mützelburg,Norita,"1,516",5,207,"[('40.17', '-15.50')]",1941,7,28
U-561,Robert Bartels,Wrotham,"1,884",0,207,"[('43.00', '-17.00')]",1941,7,28
U-371,Heinrich Driver,Shahristan,"6,935",0,206,"[('35.32', '-23.88')]",1941,7,30
U-371,Heinrich Driver,Sitoebondo,"7,049",9,206,"[('35.32', '-23.88')]",1941,7,30
U-372,Heinz-Joachim Neumann,Belgravian,"3,136",0,208,"[('53.05', '-15.90')]",1941,8,5
U-372,Heinz-Joachim Neumann,Swiftpool,"5,205",0,208,"[('53.05', '-16.00')]",1941,8,5
U-74,Eitel-Friedrich Kentrat,Kumasian,"4,922",0,208,"[('53.43', '-15.67')]",1941,8,5
U-75,Helmuth Ringelmann,Cape Rodney,"4,512",0,208,"[('53.43', '-15.67')]",1941,8,5
U-75,Helmuth Ringelmann,Harlingen,"5,415",0,208,"[('53.43', '-15.67')]",1941,8,5
U-652,Georg-Werner Fraatz,PS-70,558,26,0,"[('69.30', '35.00')]",1941,8,6
U-206,Herbert Opitz,Ocean Victor,202,0,0,"[('62.55', '-14.12')]",1941,8,9
U-451,Eberhard Hoffmann,Zhemchug (No 27),550,26,0,"[('68.65', '42.12')]",1941,8,10
U-568,Joachim Preuss,HMS Picotee (K 63),925,0,209,"[('62.00', '-16.02')]",1941,8,12
U-126,Ernst Bauer,Sud,"2,589",11,210,"[('41.00', '-17.68')]",1941,8,14
U-38,Heinrich Schuch,Longtaker,"1,700",15,0,"[('61.43', '-30.83')]",1941,8,18
U-201,Adalbert Schnee,Aguila,"3,255",0,211,"[('49.38', '-17.93')]",1941,8,19
U-201,Adalbert Schnee,Ciscar,"1,809",0,211,"[('49.17', '-17.67')]",1941,8,19
U-204,Walter Kell,HNoMS Bath (I 17),"1,060",6,211,"[('49.00', '-17.00')]",1941,8,19
U-559,Hans Heidtmann,Alva,"1,584",0,211,"[('48.80', '-17.77')]",1941,8,19
U-564,Reinhard Suhren,Clonlara,"1,203",17,211,"[('40.72', '-11.65')]",1941,8,22
U-564,Reinhard Suhren,Empire Oak,484,0,211,"[('40.72', '-11.65')]",1941,8,22
U-143,Harald Gelhaus,Inger,"1,409",6,0,"[('58.97', '-7.83')]",1941,8,23
U-201,Adalbert Schnee,Aldergrove,"1,974",0,211,"[('40.72', '-11.65')]",1941,8,23
U-201,Adalbert Schnee,Stork,787,0,211,"[('40.72', '-11.65')]",1941,8,23
U-552,Erich Topp,Spind,"2,129",6,211,"[('40.72', '-11.65')]",1941,8,23
U-564,Reinhard Suhren,HMS Zinnia (K 98),900,0,211,"[('40.42', '-10.67')]",1941,8,23
U-752,Karl-Ernst Schroeter,T-898 (No 44),553,26,0,"[('68.33', '39.00')]",1941,8,25
U-202,Hans-Heinz Linder,Ladylove,230,0,0,"[('62.50', '-15.50')]",1941,8,27
U-557,Ottokar Arnold Paulssen,Embassage,"4,954",0,212,"[('54.00', '-13.00')]",1941,8,27
U-557,Ottokar Arnold Paulssen,Saugor,"6,303",0,212,"[('53.60', '-16.67')]",1941,8,27
U-557,Ottokar Arnold Paulssen,Segundo,"4,414",6,212,"[('53.60', '-16.67')]",1941,8,27
U-557,Ottokar Arnold Paulssen,Tremoda,"4,736",0,212,"[('53.60', '-18.67')]",1941,8,27
U-752,Karl-Ernst Schroeter,RT-8 Seld´,608,26,0,"[('68.50', '43.00')]",1941,8,27
U-558,Günther Krech,Otaio,"10,298",0,212,"[('52.27', '-17.83')]",1941,8,28
U-141,Philipp Schüler,Jarlinn,190,24,0,"[('59.05', '-11.20')]",1941,9,5
U-501,Hugo Förster,Einvik,"2,000",6,213,"[('60.63', '-31.30')]",1941,9,5
U-141,Philipp Schüler,King Erik,228,0,0,"[('61.00', '-10.83')]",1941,9,6
U-95,Gerd Schreiber,Trinidad,434,15,0,"[('46.10', '-17.07')]",1941,9,6
U-81,Friedrich Guggenberger,Empire Springbuck,"5,591",0,214,"[('61.63', '-40.67')]",1941,9,9
U-111,Wilhelm Kleinschmidt,Marken,"5,719",9,0,"[('1.60', '-36.92')]",1941,9,10
U-432,Heinz-Otto Schultze,Muneric,"5,229",0,214,"[('61.63', '-40.67')]",1941,9,10
U-432,Heinz-Otto Schultze,Stargard,"1,113",6,214,"[('61.50', '-40.50')]",1941,9,10
U-432,Heinz-Otto Schultze,Winterswijk,"3,205",9,214,"[('61.63', '-40.67')]",1941,9,10
U-81,Friedrich Guggenberger,Sally Mærsk,"3,252",0,214,"[('61.67', '-40.50')]",1941,9,10
U-82,Siegfried Rollmann,Empire Hudson,"7,465",0,214,"[('61.47', '-40.85')]",1941,9,10
U-85,Eberhard Greger,Thistleglen,"4,748",0,214,"[('61.98', '-39.77')]",1941,9,10
U-105,Georg Schewe,Montana,"1,549",15,0,"[('63.67', '-35.83')]",1941,9,11
U-202,Hans-Heinz Linder,Scania,"1,999",5,214,"[('1.60', '-32.37')]",1941,9,11
U-207,Fritz Meyer,Berury,"4,924",0,214,"[('62.67', '-38.83')]",1941,9,11
U-207,Fritz Meyer,Stonepool,"4,803",0,214,"[('63.08', '-37.83')]",1941,9,11
U-432,Heinz-Otto Schultze,Garm,"1,231",5,214,"[('63.03', '-37.85')]",1941,9,11
U-82,Siegfried Rollmann,Bulysses,"7,519",0,214,"[('62.67', '-38.83')]",1941,9,11
U-82,Siegfried Rollmann,Empire Crossbill,"5,463",0,214,"[('63.23', '-37.20')]",1941,9,11
U-82,Siegfried Rollmann,Gypsum Queen,"3,915",0,214,"[('63.08', '-37.83')]",1941,9,11
U-94,Otto Ites,Empire Eland,"5,613",0,215,"[('54.15', '-29.92')]",1941,9,15
U-94,Otto Ites,Newbury,"5,102",0,215,"[('54.65', '-28.07')]",1941,9,15
U-94,Otto Ites,Pegasus,"5,762",8,215,"[('-28.08', '37.67')]",1941,9,15
U-98,Robert Gysae,Jedmoor,"4,392",0,214,"[('59.00', '-10.00')]",1941,9,16
U-372,Heinz-Joachim Neumann,Baron Pentland,"3,410",0,214,"[('58.25', '-40.60')]",1941,9,19
U-74,Eitel-Friedrich Kentrat,HMCS Levis (K 115),925,19,216,"[('60.12', '-38.62')]",1941,9,19
U-111,Wilhelm Kleinschmidt,Cingalese Prince,"8,474",0,0,"[('-2.00', '-25.50')]",1941,9,20
U-124,Johann Mohr,Baltallinn,"1,303",0,217,"[('48.12', '-22.12')]",1941,9,20
U-124,Johann Mohr,Empire Moat,"2,922",0,217,"[('48.12', '-22.08')]",1941,9,20
U-552,Erich Topp,Barbro,"6,325",6,216,"[('61.50', '-35.12')]",1941,9,20
U-552,Erich Topp,Pink Star,"4,150",15,216,"[('61.60', '-35.12')]",1941,9,20
U-552,Erich Topp,T.J. Williams,"8,212",0,216,"[('61.57', '-35.18')]",1941,9,20
U-74,Eitel-Friedrich Kentrat,Empire Burton,"6,966",0,216,"[('61.57', '-35.08')]",1941,9,20
U-201,Adalbert Schnee,Lissa,"1,511",0,217,"[('47.00', '-22.00')]",1941,9,21
U-201,Adalbert Schnee,Rhineland,"1,381",0,217,"[('47.00', '-22.00')]",1941,9,21
U-201,Adalbert Schnee,Runa,"1,575",0,217,"[('46.33', '-22.38')]",1941,9,21
